Country (or dependency),Population  (2023),Yearly  Change %,Net  Change,Land Area  (Km²),Fertility Rate,Median Age,World  Share %
North Macedonia,2085679,-0.38,-7920,25220,1.4,39.0,0.03
Latvia,1830211,-1.0999999999999999,-20440,62200,1.6,44.0,0.02
Equatorial Guinea,1714671,2.37,39763,28050,4.1,21.0,0.02
Trinidad and Tobago,1534937,0.25,3893,5130,1.6,36.0,0.02
Bahrain,1485509,0.8999999999999999,13276,760,1.8,34.0,0.02
Timor-Leste,1360596,1.44,19300,14870,3.0,21.0,0.02
Estonia,1322765,-0.25,-3297,42390,1.7,42.0,0.02
Mauritius,1300557,0.08,1088,2030,1.4,37.0,0.02
Cyprus,1260138,0.69,8650,9240,1.3,39.0,0.02
Eswatini,1210822,0.76,9152,17200,2.8,22.0,0.02
Djibouti,1136455,1.39,15606,23180,2.7,24.0,0.01
Réunion,981796,0.8,7744,2500,2.2,34.0,0.01
Fiji,936375,0.7100000000000001,6609,18270,2.4,27.0,0.01
Comoros,852075,1.83,15301,1861,3.8,20.0,0.01
Guyana,813834,0.63,5108,196850,2.3,26.0,0.01
Bhutan,787424,0.64,4969,38117,1.4,29.0,0.01
Solomon Islands,740424,2.23,16151,27990,3.9,19.0,0.01
Macao,704149,1.29,8981,30,1.1,39.0,0.01
Luxembourg,654768,1.11,7169,2590,1.4,39.0,0.01
Montenegro,626485,-0.1,-597,13450,1.7,39.0,0.01
Suriname,623236,0.84,5196,156000,2.3,28.0,0.01
Cabo Verde,598682,0.9299999999999999,5533,4030,1.9,27.0,0.01
Western Sahara,587259,1.96,11273,266000,2.2,32.0,0.01
Micronesia,544321,0.98,5308,700,2.7,26.0,0.01
Malta,535064,0.33,1778,320,1.2,40.0,0.01
Maldives,521021,-0.53,-2766,300,1.7,32.0,0.01
Brunei,452524,0.7799999999999999,3522,5270,1.7,33.0,0.01
Bahamas,412623,0.64,2639,10010,1.4,33.0,0.01
